id,id_artist,num_samples,sr,duration_ms,bpm,centroid_mean,centroid_std,rolloff_mean,rolloff_std,flux_mean,flux_std,rms_mean,rms_std,zcr_mean,zcr_std,flatness_mean,flatness_std,spectral_complexity_mean,spectral_complexity_std,pitch_mean,pitch_std,loudness_mean,loudness_std,silence_start_sec,silence_end_sec,silence_middle_total_sec,silence_middle_count,silence_middle_mean_sec,is_silent
TR721039,ART07024718,4508196,22050,204453.33333333334,143.5546875,1692.4289284803997,699.8114469755952,3628.5880326845686,1759.2446366917095,1.1811767,1.1825926,0.2764091,0.11621572,0.061168898513797414,0.03273274520005152,0.013136631,0.062261786,2078.2037311938393,639.897062947414,86.83178609338896,52.86814329099277,-9.603902,8.874197,6.18,2.88,3.16,14,0.23,False
TR349321,ART25707984,3142566,22050,142520.0,99.38401442307692,2545.326641408427,809.2513188464585,6057.127259553702,1752.9779533270164,1.5841616,1.8272383,0.30054948,0.12689072,0.08163779300057022,0.05382168298479911,0.021023996,0.03295227,2865.320790835938,463.9907171373106,96.60242532909362,74.387919148194,-8.174697,7.9948225,0.49,2.78,2.35,25,0.09,False
TR643848,ART07024718,2250241,22050,102051.74603174604,99.38401442307692,2338.0629228830517,1172.5748415854807,5050.006375646895,2418.2395485269644,1.4565828,1.4280635,0.22828168,0.100502156,0.0958541856232939,0.07114320752135382,0.061085556,0.18468672,2395.3104235478318,841.3586577228447,118.97918180037115,88.78720996918386,-9.853108,15.573924,0.44,5.62,0.14,1,0.14,False
TR285089,ART25707984,4015452,22050,182106.66666666666,107.666015625,2537.534079902161,832.8705251925618,5439.415325693492,1504.0652003097969,1.6705345,1.6022884,0.41428232,0.089374974,0.08558923462801224,0.04549436173321012,0.023252511,0.029382285,2557.5712097057126,451.9524077776702,148.11841424133138,117.75935939153874,-3.6851246,6.804106,0.14,2.08,0.0,0,0.0,False
TR246839,ART07024718,3869040,22050,175466.66666666666,99.38401442307692,2804.8816426533,874.3064608207599,5731.06329396586,1506.8431228964712,1.5266076,1.397886,0.2852508,0.08151385,0.13619932523240041,0.07776376978126386,0.03924286,0.04284633,2597.3217220482475,374.707968467179,159.30854496887926,104.77543614342086,-5.847328,5.142823,0.02,0.88,0.23,2,0.12,False
TR417353,ART07024718,3418369,22050,155028.07256235828,92.28515625,1865.3091083124393,658.8386634091191,3893.765561816684,1373.9502902976717,1.6143229,1.5435368,0.12744445,0.057929818,0.07306660516043882,0.04394858595722846,0.013263511,0.08563901,2028.1081777632105,434.42335128595596,91.64997062998884,70.42362363655361,-8.57344,8.458808,1.37,1.29,4.81,29,0.17,False
TR506768,ART25707984,4025742,22050,182573.3333333333,117.45383522727273,3089.9290237507444,1117.6906375931617,6521.315367464708,1835.2353750095347,1.9510504,2.4411364,0.27027705,0.12962402,0.14910152027295562,0.10039015227707135,0.062262706,0.08053365,2855.9918949822727,429.7445512991659,160.6847186915465,91.47455938007599,-8.93532,8.775106,0.0,4.59,3.32,47,0.07,False
TR414330,ART07024718,10591489,22050,480339.6371882086,107.666015625,2048.562225115826,1343.8920178008175,3937.1901076914246,2301.5031685512376,1.718295,1.9431088,0.09460838,0.073757574,0.10963253549179436,0.11551736940636123,0.015790852,0.048954565,2080.535147770459,647.0607345998617,150.8455594013376,97.83290321369945,-18.602966,11.729174,4.74,19.59,129.52,645,0.2,False
TR633813,ART25707984,5365500,22050,243333.33333333334,143.5546875,2687.3660205010624,809.141874142327,5878.115502277404,1345.5300050958465,1.3378437,1.2603186,0.28608856,0.0918526,0.10707649056238072,0.06308017461862633,0.026002381,0.029225484,2723.4805337852636,387.24635657940576,125.68710682898516,85.1015519688172,-9.019997,7.890305,0.16,6.3,1.35,8,0.17,False
TR998660,ART07024718,4835585,22050,219300.90702947846,123.046875,1468.7592882542535,693.3257175347729,3034.8023301019057,1679.8027369747097,1.3395752,0.9840439,0.10449278,0.05141066,0.0598627125794071,0.038463473301117185,0.010424921,0.08075117,1875.5009188656268,550.3954187653193,90.78119891208554,58.11045926118371,-12.052747,7.667156,0.63,2.68,10.08,32,0.31,False
TR176424,ART25707984,4424862,22050,200674.0136054422,99.38401442307692,2396.0345453373952,1031.0522516918834,5113.273716469434,2094.76142587236,1.6961455,2.0589306,0.20894413,0.10985677,0.07577449326767326,0.05467248996229445,0.017499493,0.028752076,2507.9099046676542,612.5939217432489,141.46315156299113,107.73999485260063,-10.550263,7.2162166,6.99,0.22,17.14,34,0.5,False
TR877490,ART25707984,5336100,22050,242000.0,95.703125,2735.66655686895,949.043149116493,5547.681779009612,1609.3623592776298,2.0507784,2.4346285,0.19828875,0.10490901,0.12860975839189773,0.0839873028477786,0.03951544,0.049322248,2512.2342026381407,466.7593337590074,136.0795731639783,93.16906247328826,-9.823172,6.263981,0.09,1.07,12.45,172,0.07,False
